BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
北	 			p	ˤ	 	ə 	k 	 			B&SOC2015-10-13	
拔	 			b	ˤ	 	o 	t 		s 		B&SOC2015-10-13	
備	 			b		r 	ə 	k 		s 		B&SOC2015-10-13	
被	m- 			pʰ		r 	a	j 	ʔ 			B&SOC2015-10-13	
被	m- 			pʰ		r 	a	j 	ʔ	s 		B&SOC2015-10-13	
倍	 			b	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
孛	 			b	ˤ	 	u 	t 		s 		B&SOC2015-10-13	
悖	 			b	ˤ	 	u 	t 		s 		B&SOC2015-10-13	
誖	 			b	ˤ	 	u 	t 		s 		B&SOC2015-10-13	
焙	 			b	ˤ	 	ə 	 		s 		B&SOC2015-10-13	
背	m- 			p	ˤ	 	ə 	k 		s 		B&SOC2015-10-13	
偝	m- 			p	ˤ	 	ə 	k 		s 		B&SOC2015-10-13	
誖	 			b	ˤ	 	u 	t 	 			B&SOC2015-10-13	
貝	 			p	ˤ	 	a 	t 		s 		B&SOC2015-10-13	
背	 			p	ˤ	 	ə 	k 		s 		B&SOC2015-10-13	
賁	 			p	ˤ	 	u 	r 	 			B&SOC2015-10-13	
奔	 			p	ˤ	 	u 	r 	 			B&SOC2015-10-13	
本	C- 			p	ˤ	 	ə 	n 	ʔ 			B&SOC2015-10-13	
畚	 			p	ˤ	 	u 	n 	ʔ 			B&SOC2015-10-13	
祊	 			p	ˤ	r 	a 	ŋ 	 			B&SOC2015-10-13	
繃	 			p	ˤ	r 	ə 	ŋ 	 			B&SOC2015-10-13	
崩	Cə-			p	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
琫	 			p	ˤ	 	o 	ŋ 	ʔ 			B&SOC2015-10-13	
迸	 			p	ˤ	r 	e 	ŋ 		s 		B&SOC2015-10-13	
堋	 			p	ˤ	 	ə 	ŋ 		s 		B&SOC2015-10-13	
偪	 			p		r 	ə 	k 	 			B&SOC2015-10-13	
逼	 			p		r 	ə 	k 	 			B&SOC2015-10-13	
鼻	Cə-			b		 	i 	t 		s 		B&SOC2015-10-13	
鼻	m- 			b		 	i 	t 		s 		B&SOC2015-10-13	
鄙	 			p		r 	ə 	 	ʔ 			B&SOC2015-10-13	
筆	p- 			r		 	u 	t 	 			B&SOC2015-10-13	
彼	 			p		 	a	j 	ʔ 			B&SOC2015-10-13	
比	C- 			p		 	i	j 	ʔ 			B&SOC2015-10-13	
匕	 			p		 	i	j 	ʔ 			B&SOC2015-10-13	
妣	 			p		 	i	j 	ʔ 			B&SOC2015-10-13	
秕	 			p		 	i	j 	ʔ 			B&SOC2015-10-13	
髀	m- 			p	ˤ	 	e 	 	ʔ 			B&SOC2015-10-13	
辟	 			b	ˤ	 	e 	k 	 			B&SOC2015-10-13	
苾	 			b	ˤ	 	i 	t 	 			B&SOC2015-10-13	
邲	 			b		r 	i 	t 	 			B&SOC2015-10-13	
庳	N- 			p		 	e 	 	ʔ 			B&SOC2015-10-13	
婢	 			b		 	e 	 	ʔ 			B&SOC2015-10-13	
避	 			b		 	e 	k 		s 		B&SOC2015-10-13	
敝	 			b		 	e 	t 		s 		B&SOC2015-10-13	
幣	 			b		 	e 	t 		s 		B&SOC2015-10-13	
斃	 			b		 	e 	t 		s 		B&SOC2015-10-13	
