BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
桓				ɢʷ	ˤ		a	r				B&SOC2015-10-13	
貆	 			qʷʰ		 	a 	r 	 			B&SOC2015-10-13	
緩	 			ɢʷ	ˤ	 	a 	n 	ʔ 			B&SOC2015-10-13	
患	 			g	ˤ	r 	o 	n 		s 		B&SOC2015-10-13	
擐	 			ɢʷ	ˤ	r 	e 	n 		s 		B&SOC2015-10-13	
宦	m- 			kʷ	ˤ	r 	a 	n 		s 		B&SOC2015-10-13	
輠	 			g	ˤ	 	o 	r 	ʔ 			B&SOC2015-10-13	
浣	 			ɢ	ˤ	 	o 	n 	ʔ 			B&SOC2015-10-13	
換	 			ɢʷ	ˤ	 	a 	n 		s 		B&SOC2015-10-13	
渙	 			qʷʰ	ˤ	 	a 	n 		s 		B&SOC2015-10-13	
巟				m	ˤ	 	a 	ŋ 				B&SOC2015-10-13	
衁				m	ˤ	 	a 	ŋ 				B&SOC2015-10-13	
荒				m	ˤ	 	a 	ŋ 				B&SOC2015-10-13	
黃	N- 			kʷ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
皇	 			ɢʷ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
徨	 			ɢʷ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
煌	 			ɢʷ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
隍	 			ɢʷ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
蝗	 			ɢʷ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
詤				m	ˤ	 	a 	ŋ 				B&SOC2015-10-13	
芒				m	ˤ	 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
詤				m	ˤ	 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
慌				m	ˤ	 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
隓	 			l	ˤ	 	o	j 	ʔ 			B&SOC2015-10-13	
徽			◦	m		 	ə	j 				B&SOC2015-10-13	
揮	 			qʷʰ		 	ə 	r 	 			B&SOC2015-10-13	
暉	 			qʷʰ		 	ə 	r 	 			B&SOC2015-10-13	
煇	 			qʷʰ		 	ə 	r 	 			B&SOC2015-10-13	
輝	 			qʷʰ		 	ə 	r 	 			B&SOC2015-10-13	
楎	 			qʷʰ		 	ə 	r 	 			B&SOC2015-10-13	
墮	 		◦	l		 	o	j 	 			B&SOC2015-10-13	
隳	 		◦	l		 	o	j 	 			B&SOC2015-10-13	
虺	 			r	ˤ	 	u	j 	 			B&SOC2015-10-13	
灰				m	ˤ	 	ə 	 				B&SOC2015-10-13	
回	 			ɢʷ	ˤ	 	ə	j 	 			B&SOC2015-10-13	
迴	 			ɢʷ	ˤ		ə	j 	 			B&SOC2015-10-13	
虺	 		◦	r		 	u	j 	ʔ 			B&SOC2015-10-13	
𤈦			◦	m		 	ə	j 	ʔ 			B&SOC2015-10-13	
毀			◦	m		r 	a	j 	ʔ 			B&SOC2015-10-13	
烜	 			qʷʰ		 	a	r 	ʔ 			B&SOC2015-10-13	
悔				m	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
穢	 			qʷ		 	a 	t 		s 		B&SOC2015-10-13	
會	m- 			k	ˤ	 	o 	p 		s 		B&SOC2015-10-13	
慧	 			ɢʷ	ˤ	 	e 	t 		s 		B&SOC2015-10-13	
惠	 			ɢʷ	ˤ	 	i	j 		s 		B&SOC2015-10-13	
叀	 			ɢʷ	ˤ	 	i	j 		s 		B&SOC2015-10-13	
輠	 			g	ˤ	 	u 	r 	ʔ 			B&SOC2015-10-13	
喙	t- 		◦	l		 	o 	r 	ʔ	s 		B&SOC2015-10-13	
隋	 		◦	l		 	o	j 		s 		B&SOC2015-10-13	
喙	 		◦	l		 	o 	r 	ʔ	s 		B&SOC2015-10-13	
顪	 			qʷʰ		 	a 	t 		s 		B&SOC2015-10-13	
翽	 			qʷʰ	ˤ	 	a 	t 		s 		B&SOC2015-10-13	
嘒	 			qʷʰ	ˤ	 	i 	t 		s 		B&SOC2015-10-13	
賄	 			qʷʰ	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
誨				m	ˤ	 	ə 	 	ʔ	s 		B&SOC2015-10-13	
晦				m	ˤ	 	ə 	k 		s 		B&SOC2015-10-13	
靧	 			qʰ	ˤ	 	u	j 		s 		B&SOC2015-10-13	
彗	s- 			ɢʷ		 	e 	t 		s 		B&SOC2015-10-13	
昏				m	ˤ	 	u 	n 				B&SOC2015-10-13	
婚				m	ˤ	 	u 	n 				B&SOC2015-10-13	
渾	 			g	ˤ	 	u 	r 	 			B&SOC2015-10-13	
魂	m- 			qʷ	ˤ	 	ə 	n 	 			B&SOC2015-10-13	
楎	 			ɢʷ	ˤ	 	ə 	r 	 			B&SOC2015-10-13	
渾	 			g	ˤ	 	u 	r 	ʔ 			B&SOC2015-10-13	
活	 			gʷ	ˤ	 	a 	t 	 			B&SOC2015-10-13	
夥	 			gʷ	ˤ	 	a	j 	ʔ 			B&SOC2015-10-13	
火	 			qʷʰ	ˤ	 	ə	j 	ʔ 			B&SOC2015-10-13	
禍	 			gʷ	ˤ	 	a	j 	ʔ 			B&SOC2015-10-13	
擭	m- 			qʷ	ˤ	r 	a 	k 		s 		B&SOC2015-10-13	
穫	m- 			qʷ	ˤ	 	a 	k 	 			B&SOC2015-10-13	
蒦	m- 			qʷ	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
獲	m- 			qʷ	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
或	 			ɢʷ	ˤ	 	ə 	k 	 			B&SOC2015-10-13	
惑	 			ɢʷ	ˤ	 	ə 	k 	 			B&SOC2015-10-13	
貨	 			qʷʰ	ˤ	 	a	j 		s 		B&SOC2015-10-13	
濊	 			qʷʰ	ˤ	 	a 	t 	 			B&SOC2015-10-13	
畿	 			g		 	ə 	r 	 			B&SOC2015-10-13	
屐	Cə-			g		r 	e 	k 	 			B&SOC2015-10-13	
枅	 			k	ˤ	 	e 	r 	 			B&SOC2015-10-13	
笄	 			k	ˤ	 	e 	r 	 			B&SOC2015-10-13	
雞	 			k	ˤ	 	e 	 	 			B&SOC2015-10-13	
鷄	 			k	ˤ	 	e 	 	 			B&SOC2015-10-13	
𥝌	 			k	ˤ	 	i	j 	 			B&SOC2015-10-13	
稽	 			k	ˤ	 	i	j 	 			B&SOC2015-10-13	
激	 			k	ˤ	 	e	wk 	 			B&SOC2015-10-13	
擊	 			k	ˤ	 	i 	k 	 			B&SOC2015-10-13	
姬	 			k		r 	ə 	 	 			B&SOC2015-10-13	
箕	 			k		r 	ə 	 	 			B&SOC2015-10-13	
基	 			k		r 	ə 	 	 			B&SOC2015-10-13	
飢	Cə-			k		r 	ə	j 	 			B&SOC2015-10-13	
肌	 			k		r 	ə	j 	 			B&SOC2015-10-13	
机	 			k		r 	ə	j 	ʔ 			B&SOC2015-10-13	
饑	 			k		 	ə	j 	 			B&SOC2015-10-13	
幾	 			k		 	ə	j 	 			B&SOC2015-10-13	
機	 			k		 	ə	j 	 			B&SOC2015-10-13	
奇	 			k		r 	a	j 	 			B&SOC2015-10-13	
羈	 			k		r 	a	j 	 			B&SOC2015-10-13	
䪡	 			ts	ˤ	 	i	j 	 			B&SOC2015-10-13	
躋	 			ts	ˤ	 	ə	j 	 			B&SOC2015-10-13	
隮	 			ts	ˤ	 	ə	j 	 			B&SOC2015-10-13	
績	 			ts	ˤ	 	e 	k 	 			B&SOC2015-10-13	
積	 			ts		 	e 	k 	 			B&SOC2015-10-13	
輯	 			dz		 	u 	p 	 			B&SOC2015-10-13	
集	 			dz		 	u 	p 	 			B&SOC2015-10-13	
疾	 			dz		 	i 	t 	 			B&SOC2015-10-13	
籍	 			dz		 	A 	k 	 			B&SOC2015-10-13	
藉	 			dz		 	A 	k 	 			B&SOC2015-10-13	
極	 			g		r 	ə 	k 	 			B&SOC2015-10-13	
及	m-	k- 		r		 	ə 	p 	 			B&SOC2015-10-13	
佶	 			g		r 	i 	t 	 			B&SOC2015-10-13	
亟	 			k		r 	ə 	k 	 			B&SOC2015-10-13	
棘	 			k		r 	ə 	k 	 			B&SOC2015-10-13	
朸	 			k		r 	ə 	k 	 			B&SOC2015-10-13	
急	 			k		r 	ə 	p 	 			B&SOC2015-10-13	
級	 			k		r 	ə 	p 	 			B&SOC2015-10-13	
吉	C- 			q		 	i 	t 	 			B&SOC2015-10-13	
即	 			ts		 	i 	k 	 			B&SOC2015-10-13	
揖	s- 			q		r 	i 	p 	 			B&SOC2015-10-13	
堲	 			ts		 	i 	k 	 			B&SOC2015-10-13	
楫	 			ts		 	ə 	p 	 			B&SOC2015-10-13	
濈	s- 			q		r 	i 	p 	 			B&SOC2015-10-13	
輯	 			ts		r 	u 	p 	 			B&SOC2015-10-13	
己	 			k		r 	ə 	 	ʔ 			B&SOC2015-10-13	
紀	 			k		r 	ə 	 	ʔ 			B&SOC2015-10-13	
几	C- 			k		r 	ə	j 	ʔ 			B&SOC2015-10-13	
給	 			k		r 	ə 	p 	 			B&SOC2015-10-13	
幾	 			k		 	ə	j 	ʔ 			B&SOC2015-10-13	
戟	 			k		r 	a 	k 	 			B&SOC2015-10-13	
丮	 			k		r 	a 	k 	 			B&SOC2015-10-13	
濟	 			ts	ˤ	 	i	j 	ʔ 			B&SOC2015-10-13	
濟	 			ts	ˤ	 	ə	j 	ʔ 			B&SOC2015-10-13	
泲	 			ts	ˤ	 	i	j 	ʔ 			B&SOC2015-10-13	
脊	 			ts		 	e 	k 	 			B&SOC2015-10-13	
薺	 			dz	ˤ	 	ə	j 	ʔ 			B&SOC2015-10-13	
寂	s- 			d	ˤ	 	i	wk 	 			B&SOC2015-10-13	
忌	m- 			k		r 	ə 	k 		s 		B&SOC2015-10-13	
暨	m-	k- 		r		 	ə 	p 		s 		B&SOC2015-10-13	
踦	 			g		r 	a	j 	ʔ 			B&SOC2015-10-13	
伎				g		r 	e 	 	ʔ 			B&SOC2015-10-13	
技				g		r 	e 	 	ʔ 			B&SOC2015-10-13	
芰				g		r 	e 	 		s 		B&SOC2015-10-13	
悸	 			gʷ		 	i 	t 		s 		B&SOC2015-10-13	
繫	Cə-			k	ˤ	 	e 	 		s 		B&SOC2015-10-13	
繼	 			k	ˤ	 	e 	 		s 		B&SOC2015-10-13	
髻	 			k	ˤ	 	i 	t 		s 		B&SOC2015-10-13	
計	 			k	ˤ	 	i	j 		s 		B&SOC2015-10-13	
記	C- 			k		r 	ə 	 	ʔ	s 		B&SOC2015-10-13	
冀	 			k		r 	ə 	t 		s 		B&SOC2015-10-13	
既	 			k		 	ə 	t 		s 		B&SOC2015-10-13	
寄	C- 			k		r 	a	j 		s 		B&SOC2015-10-13	
罽	 			k		r 	a 	t 		s 		B&SOC2015-10-13	
猘	 			k		r 	e 	t 		s 		B&SOC2015-10-13	
季	 			kʷ		 	i 	t 		s 		B&SOC2015-10-13	
濟	 			ts	ˤ	 	i	j 	ʔ	s 		B&SOC2015-10-13	
績	 			ts	ˤ	 	e 	k 	 			B&SOC2015-10-13	
稷	 			ts		 	ə 	k 	 			B&SOC2015-10-13	
穄	 			ts		 	a 	t 		s 		B&SOC2015-10-13	
際	 			ts		 	a 	p 		s 		B&SOC2015-10-13	
祭	 			ts		 	e 	t 		s 		B&SOC2015-10-13	
跡	 			ts		 	e 	k 	 			B&SOC2015-10-13	
迹	 			ts		 	e 	k 	 			B&SOC2015-10-13	
𨒪	 			ts		 	e 	k 	 			B&SOC2015-10-13	
蹟	 			ts		 	e 	k 	 			B&SOC2015-10-13	
嘉	 			k	ˤ	r 	a	j 	 			B&SOC2015-10-13	
家	 			k	ˤ	r 	a 	 	 			B&SOC2015-10-13	
豭	 			k	ˤ	r 	a 	 	 			B&SOC2015-10-13	
加	 			k	ˤ	r 	a	j 	 			B&SOC2015-10-13	
梜	C- 			k	ˤ	r 	e 	p 	 			B&SOC2015-10-13	
夾	 			k	ˤ	r 	e 	p 	 			B&SOC2015-10-13	
梜	 			k	ˤ	 	e 	p 	 			B&SOC2015-10-13	
戛	 			k	ˤ	r 	i 	k 	 			B&SOC2015-10-13	
跲	 			k		r 	o 	p 	 			B&SOC2015-10-13	
叚	Cə-			k	ˤ	r 	a 	 	ʔ 			B&SOC2015-10-13	
假	Cə-			k	ˤ	r 	a 	 	ʔ 			B&SOC2015-10-13	
斝	 			k	ˤ	r 	a 	 	ʔ 			B&SOC2015-10-13	
假	 			k	ˤ	r 	a 	 	ʔ 			B&SOC2015-10-13	
甲	 			k	ˤ	r 	a 	p 	 			B&SOC2015-10-13	
賈	C- 			q	ˤ	r 	a 	 	ʔ	s 		B&SOC2015-10-13	
價	C- 			q	ˤ	r 	a 	 	ʔ	s 		B&SOC2015-10-13	
嫁	 			k	ˤ	r 	a 	 		s 		B&SOC2015-10-13	
稼	 			k	ˤ	r 	a 	 		s 		B&SOC2015-10-13	
駕	 			k	ˤ	r 	a	j 		s 		B&SOC2015-10-13	
嫁	s- 			k	ˤ	r 	a 	 		s 		B&SOC2015-10-13	
佳	 			k	ˤ	r 	e 	 	 			B&SOC2015-10-13	
戔	 			dz	ˤ	 	a 	n 	 			B&SOC2015-10-13	
監	 			k	ˤ	r 	a 	m 	 			B&SOC2015-10-13	
姦	 			k	ˤ	r 	a 	n 	 			B&SOC2015-10-13	
蕑	k- 			r	ˤ	 	a 	n 	 			B&SOC2015-10-13	
蕑	k- 			r	ˤ	 	e 	n 	 			B&SOC2015-10-13	
間	 			k	ˤ	r 	e 	n 	 			B&SOC2015-10-13	
𡏳	 			k	ˤ	r 	ə 	r 	 			B&SOC2015-10-13	
艱	 			k	ˤ	r 	ə 	r 	 			B&SOC2015-10-13	
囏	 			k	ˤ	r 	ə 	r 	 			B&SOC2015-10-13	
兼	 			k	ˤ	 	e 	m 	 			B&SOC2015-10-13	
蒹	 			k	ˤ	 	e 	m 	 			B&SOC2015-10-13	
豣	 			k	ˤ	 	e 	n 	 			B&SOC2015-10-13	
肩	 			k	ˤ	 	e 	n 	 			B&SOC2015-10-13	
枅	 			k	ˤ	 	e 	r 	 			B&SOC2015-10-13	
堅	 			k	ˤ	 	i 	ŋ 	 			B&SOC2015-10-13	
𩱡	C- 			q		 	a 	n 	 			B&SOC2015-10-13	
漸	 			ts		 	a 	m 	 			B&SOC2015-10-13	
熸	 			ts		 	o 	m 	 			B&SOC2015-10-13	
儉	 			g		r 	a 	m 	ʔ 			B&SOC2015-10-13	
減	m- 			k	ˤ	r 	ə 	m 	ʔ 			B&SOC2015-10-13	
減	 			k	ˤ	r 	ə 	m 	ʔ 			B&SOC2015-10-13	
柬	 			k	ˤ	r 	a 	n 	ʔ 			B&SOC2015-10-13	
揀	 			k	ˤ	r 	a 	n 	ʔ 			B&SOC2015-10-13	
簡	 			k	ˤ	r 	e 	n 	ʔ 			B&SOC2015-10-13	
繭	 			k	ˤ	 	e 	n 	ʔ 			B&SOC2015-10-13	
檢	 			k		r 	a 	m 	ʔ 			B&SOC2015-10-13	
𢵈	 			k		r 	e 	n 	ʔ 			B&SOC2015-10-13	
䭕	Cə-			ts		 	a 	m 	ʔ 			B&SOC2015-10-13	
翦	 			ts		 	e 	n 	ʔ 			B&SOC2015-10-13	
荐	N- 			ts	ˤ	 	ə 	n 		s 		B&SOC2015-10-13	
洊	N- 			ts	ˤ	 	ə 	n 		s 		B&SOC2015-10-13	
栫	 			dz	ˤ	 	ə 	n 		s 		B&SOC2015-10-13	
漸	 			dz		 	a 	m 	ʔ 			B&SOC2015-10-13	
踐	 			dz		 	a 	n 	ʔ 			B&SOC2015-10-13	
俴	 			dz		 	e 	n 	ʔ 			B&SOC2015-10-13	
賤	 			dz		 	a 	n 		s 		B&SOC2015-10-13	
件	 			g		r 	a 	n 	ʔ 			B&SOC2015-10-13	
檻	 			g	ˤ	r 	a 	m 	ʔ 			B&SOC2015-10-13	
檻	 			g	ˤ	 	a 	m 	ʔ 			B&SOC2015-10-13	
監	 			k	ˤ	r 	a 	m 		s 		B&SOC2015-10-13	
澗	 			k	ˤ	r 	a 	n 		s 		B&SOC2015-10-13	
諫	 			k	ˤ	r 	a 	n 	ʔ	s 		B&SOC2015-10-13	
見	 			k	ˤ	 	e 	n 		s 		B&SOC2015-10-13	
劍	s- 			k		r 	a 	m 		s 		B&SOC2015-10-13	
建	 			k		 	a 	n 		s 		B&SOC2015-10-13	
僭	 			ts	ˤ	 	i 	m 		s 		B&SOC2015-10-13	
薦	Cə-			ts	ˤ	 	ə 	r 		s 		B&SOC2015-10-13	
濺	 			ts		 	a 	n 		s 		B&SOC2015-10-13	
箭	 			ts		 	e 	n 		s 		B&SOC2015-10-13	
江	 			k	ˤ	r 	o 	ŋ 	 			B&SOC2015-10-13	
姜	C- 			q		 	a 	ŋ 	 			B&SOC2015-10-13	
薑	 			k		 	a 	ŋ 	 			B&SOC2015-10-13	
畺	 			k		 	a 	ŋ 	 			B&SOC2015-10-13	
疆	 			k		 	a 	ŋ 	 			B&SOC2015-10-13	
將	 			ts		 	a 	ŋ 	 			B&SOC2015-10-13	
漿	 			ts		 	a 	ŋ 	 			B&SOC2015-10-13	
講	 			k	ˤ	r 	o 	ŋ 	ʔ 			B&SOC2015-10-13	
奬	 			ts		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
匠	s- 			b		 	a 	ŋ 		s 		B&SOC2015-10-13	
虹	 			k	ˤ	r 	o 	ŋ 		s 		B&SOC2015-10-13	
降	 			k	ˤ	r 	u 	ŋ 		s 		B&SOC2015-10-13	
將	 			ts		 	a 	ŋ 		s 		B&SOC2015-10-13	
醬	 			ts		 	a 	ŋ 		s 		B&SOC2015-10-13	
茭	 			k	ˤ	r 	a	w 	 			B&SOC2015-10-13	
交	 			k	ˤ	r 	a	w 	 			B&SOC2015-10-13	
郊	 			k	ˤ	r 	a	w 	 			B&SOC2015-10-13	
膠	 			k	ˤ	r 	i	w 	 			B&SOC2015-10-13	
教	s- 			k	ˤ	r 	a	w 	 			B&SOC2015-10-13	
徼	 			k	ˤ	 	e	w 	 			B&SOC2015-10-13	
椒	s- 			t	ˤ	 	i	w 	 			B&SOC2015-10-13	
椒	S- 			t		 	e	w 	 			B&SOC2015-10-13	
焦	S- 			t		 	e	w 	 			B&SOC2015-10-13	
膠	 			k	ˤ	r 	i	w 	ʔ 			B&SOC2015-10-13	
絞	k- 			r	ˤ	 	i	w 	ʔ 			B&SOC2015-10-13	
攪	 			k	ˤ	r 	u 	 	ʔ 			B&SOC2015-10-13	
鉸	mə-			k	ˤ	r 	a	w 	ʔ 			B&SOC2015-10-13	
角	C- 			k	ˤ	r 	o 	k 	 			B&SOC2015-10-13	
僥	 			k	ˤ	 	e	w 	ʔ 			B&SOC2015-10-13	
腳	 			k		 	a 	k 	 			B&SOC2015-10-13	
脚	 			k		 	a 	k 	 			B&SOC2015-10-13	
矯	 			k		r 	a	w 	ʔ 			B&SOC2015-10-13	
剿				ts		 	a	w 	ʔ 			B&SOC2015-10-13	
噍				dz		 	e	wk 		s 		B&SOC2015-10-13	
覺	 			k	ˤ	r 	u 	k 		s 		B&SOC2015-10-13	
窖	 			k	ˤ	r 	u 	k 		s 		B&SOC2015-10-13	
教	s- 			k	ˤ	r 	a	w 		s 		B&SOC2015-10-13	
徼	 			k	ˤ	 	e	wk 		s 		B&SOC2015-10-13	
叫	 			k	ˤ	 	e	wk 		s 		B&SOC2015-10-13	
揭	m- 			k		r 	a 	t 	 			B&SOC2015-10-13	
揭	m- 			k		 	a 	t 	 			B&SOC2015-10-13	
湝	 			g	ˤ	r 	ə	j 	 			B&SOC2015-10-13	
街	 			k	ˤ	r 	e 	 	 			B&SOC2015-10-13	
皆	 			k	ˤ	r 	i	j 	 			B&SOC2015-10-13	
階	 			k	ˤ	r 	i	j 	 			B&SOC2015-10-13	
喈	 			k	ˤ	r 	ə	j 	 			B&SOC2015-10-13	
秸	 			k	ˤ	r 	i 	t 	 			B&SOC2015-10-13	
揭	 			kʰ		r 	a 	t 		s 		B&SOC2015-10-13	
揭	 			kʰ		r 	a 	t 	 			B&SOC2015-10-13	
揭	 			k		 	a 	t 	 			B&SOC2015-10-13	
嗟	 			ts		 	A	j 	 			B&SOC2015-10-13	
接	 			ts		 	a 	p 	 			B&SOC2015-10-13	
椄	 			ts		 	a 	p 	 			B&SOC2015-10-13	
截	 			dz	ˤ	 	e 	t 	 			B&SOC2015-10-13	
捷	 			dz		 	a 	p 	 			B&SOC2015-10-13	
竭	N- 			k		r 	a 	t 	 			B&SOC2015-10-13	
桀	N- 			k		r 	a 	t 	 			B&SOC2015-10-13	
傑	N- 			k		r 	a 	t 	 			B&SOC2015-10-13	
桀	m- 			k		r 	a 	t 	 			B&SOC2015-10-13	
袺	 			k	ˤ	r 	i 	t 	 			B&SOC2015-10-13	
潔	 			k	ˤ	 	e 	t 	 			B&SOC2015-10-13	
拮	 			k	ˤ	 	i 	t 	 			B&SOC2015-10-13	
結	 			k	ˤ	 	i 	t 	 			B&SOC2015-10-13	
袺	 			k	ˤ	 	i 	t 	 			B&SOC2015-10-13	
詰	 			kʰ		 	i 	t 	 			B&SOC2015-10-13	
劫	 			k		r 	a 	p 	 			B&SOC2015-10-13	
桀	 			k		r 	a 	t 	 			B&SOC2015-10-13	
節	 			ts	ˤ	 	i 	k 	 			B&SOC2015-10-13	
卪	 			ts	ˤ	 	i 	k 	 			B&SOC2015-10-13	
睫	 			ts		 	a 	p 	 			B&SOC2015-10-13	
解	 			k	ˤ	r 	e 	 	ʔ 			B&SOC2015-10-13	
藉	 			dz		 	A 	k 		s 		B&SOC2015-10-13	
犗	 			k	ˤ	r 	a 	t 		s 		B&SOC2015-10-13	
疥	C- 			k	ˤ	r 	e 	p 		s 		B&SOC2015-10-13	
界	 			k	ˤ	r 	e 	t 		s 		B&SOC2015-10-13	
芥	 			k	ˤ	r 	e 	t 		s 		B&SOC2015-10-13	
介	 			k	ˤ	r 	e 	p 		s 		B&SOC2015-10-13	
屆	 			k	ˤ	r 	i 	t 		s 		B&SOC2015-10-13	
戒	 			k	ˤ	r 	ə 	k 		s 		B&SOC2015-10-13	
誡	 			k	ˤ	r 	ə 	k 		s 		B&SOC2015-10-13	
借	 			ts		 	A 	k 		s 		B&SOC2015-10-13	
借	 			ts		 	A 	k 	 			B&SOC2015-10-13	
今	 			k		r 	ə 	m 	 			B&SOC2015-10-13	
金	 			k		r 	ə 	m 	 			B&SOC2015-10-13	
䘳	 			k		r 	ə 	m 	 			B&SOC2015-10-13	
襟	 			k		r 	ə 	m 	 			B&SOC2015-10-13	
巾	 			k		r 	ə 	n 	 			B&SOC2015-10-13	
矜	k- 			r		 	i 	ŋ 	 			B&SOC2015-10-13	
筋	C- 			k		 	ə 	n 	 			B&SOC2015-10-13	
斤	 			k		 	ə 	r 	 			B&SOC2015-10-13	
津	 			ts		 	i 	n 	 			B&SOC2015-10-13	
堇	 			g		r 	ə 	r 	 			B&SOC2015-10-13	
殣	 			g		r 	ə 	r 		s 		B&SOC2015-10-13	
錦	Cə-			k		r 	ə 	m 	ʔ 			B&SOC2015-10-13	
堇	 			k		 	ə 	r 	ʔ 			B&SOC2015-10-13	
謹	 			k		 	ə 	r 	ʔ 			B&SOC2015-10-13	
緊	C- 			q		 	i 	n 	ʔ 			B&SOC2015-10-13	
盡	 			ts		 	i 	n 	ʔ 			B&SOC2015-10-13	
盡	m- 			ts		 	i 	n 	ʔ 			B&SOC2015-10-13	
燼	N- 			ts		 	i 	n 	ʔ	s 		B&SOC2015-10-13	
僅	 			g		r 	ə 	r 		s 		B&SOC2015-10-13	
墐	 			g		r 	ə 	r 		s 		B&SOC2015-10-13	
饉	 			g		r 	ə 	r 		s 		B&SOC2015-10-13	
慬	 			g		 	ə 	r 	 			B&SOC2015-10-13	
近	N- 			k		 	ə 	r 	ʔ 			B&SOC2015-10-13	
近	s-	N- 		k		 	ə 	r 	ʔ	s 		B&SOC2015-10-13	
禁	 			k		r 	ə 	m 		s 		B&SOC2015-10-13	
蓳	 			k		 	ə 	r 	ʔ 			B&SOC2015-10-13	
蓳	 			k		 	ə 	r 		s 		B&SOC2015-10-13	
進	 			ts		 	i 	n 		s 		B&SOC2015-10-13	
晉	 			ts		 	i 	n 		s 		B&SOC2015-10-13	
鯨	 			g		r 	a 	ŋ 	 			B&SOC2015-10-13	
莖	m-	k- 		l	ˤ	r 	e 	ŋ 	 			B&SOC2015-10-13	
經	k- 			l	ˤ	 	e 	ŋ 	 			B&SOC2015-10-13	
巠	k- 			l	ˤ	 	e 	ŋ 	 			B&SOC2015-10-13	
兢	 			k		r 	ə 	ŋ 	 			B&SOC2015-10-13	
京	 			k		r 	a 	ŋ 	 			B&SOC2015-10-13	
荊	 			k		r 	e 	ŋ 	 			B&SOC2015-10-13	
驚	 			k		r 	e 	ŋ 	 			B&SOC2015-10-13	
旌	 			ts		 	e 	ŋ 	 			B&SOC2015-10-13	
精	 			ts		 	e 	ŋ 	 			B&SOC2015-10-13	
晶	 			ts		 	e 	ŋ 	 			B&SOC2015-10-13	
頸	m- 			k		  	e  	ŋ  				B&SOC2015-10-13	
剄	 			k	ˤ	 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
景	C- 			q		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
境	 			k		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
警	 			k		r 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
頸	 			k		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
井	C- 			ts		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
丼	C- 			ts		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
淨	N- 			ts		 	e 	ŋ 		s 		B&SOC2015-10-13	
淨	m- 			ts		 	e 	ŋ 		s 		B&SOC2015-10-13	
競	m- 			k		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
脛	m- 			kʰ	ˤ	 	e 	ŋ 		s 		B&SOC2015-10-13	
徑	 			k	ˤ	 	e 	ŋ 		s 		B&SOC2015-10-13	
鏡	C- 			q		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
竟	 			k		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
敬	 			k		r 	e 	ŋ 	ʔ	s 		B&SOC2015-10-13	
勁	 			k		 	e 	ŋ 		s 		B&SOC2015-10-13	
坰	 			kʷ	ˤ	 	e 	ŋ 	 			B&SOC2015-10-13	
扃	 			kʷ	ˤ	 	e 	ŋ 	 			B&SOC2015-10-13	
褧	 			kʷʰ	ˤ	 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
囧	k- 			m		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
丩	k- 			r		 	i	w 	 			B&SOC2015-10-13	
摎	k- 			r		 	i	w 	 			B&SOC2015-10-13	
樛	k- 			r		 	i	w 	 			B&SOC2015-10-13	
糾	 			k		r 	i	w 	ʔ 			B&SOC2015-10-13	
鳩	 			k		r 	u 	 	 			B&SOC2015-10-13	
究	 			k		r 	u 	 	ʔ	s 		B&SOC2015-10-13	
九	 			k		 	u 	 	ʔ 			B&SOC2015-10-13	
久				kʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
灸				kʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
韭	s- 			k		r 	u 	 	ʔ 			B&SOC2015-10-13	
酒				ts		 	u 	 	ʔ 			B&SOC2015-10-13	
就	 			dz		 	u 	k 		s 		B&SOC2015-10-13	
臼	C- 			gʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
舅				g		r 	u 	 	ʔ 			B&SOC2015-10-13	
咎				g		r 	u 	 	ʔ 			B&SOC2015-10-13	
