zi,Preinitial1,Preinitial 2,Initial,Medial,Nucleus,Final,Postcoda *-ʔ,Postcoda *-s,,Source,,
報, ,,pˤ, ,u ,k ,,s ,,B&SOC2015-10-13,,
悲, ,,p,r ,ə,j , ,,,B&SOC2015-10-13,,
陂, ,,p,r ,a,j , ,,,B&SOC2015-10-13,,
碑, ,,p,r ,e , , ,,,B&SOC2015-10-13,,
卑, ,,p, ,e , , ,,,B&SOC2015-10-13,,
卑, ,,p, ,e , , ,,,B&SOC2015-10-13,,
杯,,,pˤ, ,ə , , ,,,B&SOC2015-10-13,,
北, ,,pˤ, ,ə ,k , ,,,B&SOC2015-10-13,,
拔, ,,bˤ, ,o ,t ,,s ,,B&SOC2015-10-13,,
備, ,,b,r ,ə ,k ,,s ,,B&SOC2015-10-13,,
被,m- ,,pʰ,r ,a,j ,ʔ ,,,B&SOC2015-10-13,,
被,m- ,,pʰ,r ,a,j ,ʔ,s ,,B&SOC2015-10-13,,
倍, ,,bˤ, ,ə , ,ʔ ,,,B&SOC2015-10-13,,
孛, ,,bˤ, ,u ,t ,,s ,,B&SOC2015-10-13,,
悖, ,,bˤ, ,u ,t ,,s ,,B&SOC2015-10-13,,
誖, ,,bˤ, ,u ,t ,,s ,,B&SOC2015-10-13,,
焙, ,,bˤ, ,ə , ,,s ,,B&SOC2015-10-13,,
背,m- ,,pˤ, ,ə ,k ,,s ,,B&SOC2015-10-13,,
偝,m- ,,pˤ, ,ə ,k ,,s ,,B&SOC2015-10-13,,
誖, ,,bˤ, ,u ,t , ,,,B&SOC2015-10-13,,
貝, ,,pˤ, ,a ,t ,,s ,,B&SOC2015-10-13,,
背, ,,pˤ, ,ə ,k ,,s ,,B&SOC2015-10-13,,
賁, ,,pˤ, ,u ,r , ,,,B&SOC2015-10-13,,
奔, ,,pˤ, ,u ,r , ,,,B&SOC2015-10-13,,
本,C- ,,pˤ, ,ə ,n ,ʔ ,,,B&SOC2015-10-13,,
畚, ,,pˤ, ,u ,n ,ʔ ,,,B&SOC2015-10-13,,
祊, ,,pˤ,r ,a ,ŋ , ,,,B&SOC2015-10-13,,
繃, ,,pˤ,r ,ə ,ŋ , ,,,B&SOC2015-10-13,,
崩,Cə- ,,pˤ, ,ə ,ŋ , ,,,B&SOC2015-10-13,,
琫, ,,pˤ, ,o ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
迸, ,,pˤ,r ,e ,ŋ ,,s ,,B&SOC2015-10-13,,
堋, ,,pˤ, ,ə ,ŋ ,,s ,,B&SOC2015-10-13,,
偪, ,,p,r ,ə ,k , ,,,B&SOC2015-10-13,,
逼, ,,p,r ,ə ,k , ,,,B&SOC2015-10-13,,
鼻,Cə- ,,b, ,i ,t ,,s ,,B&SOC2015-10-13,,
鼻,m- ,,b, ,i ,t ,,s ,,B&SOC2015-10-13,,
鄙, ,,p,r ,ə , ,ʔ ,,,B&SOC2015-10-13,,
筆,p- ,,r, ,u ,t , ,,,B&SOC2015-10-13,,
彼, ,,p, ,a,j ,ʔ ,,,B&SOC2015-10-13,,
比,C- ,,p, ,i,j ,ʔ ,,,B&SOC2015-10-13,,
匕, ,,p, ,i,j ,ʔ ,,,B&SOC2015-10-13,,
匕, ,,p, ,i,j ,ʔ ,,,B&SOC2015-10-13,,
妣, ,,p, ,i,j ,ʔ ,,,B&SOC2015-10-13,,
秕, ,,p, ,i,j ,ʔ ,,,B&SOC2015-10-13,,
髀,m- ,,pˤ, ,e , ,ʔ ,,,B&SOC2015-10-13,,
辟, ,,bˤ, ,e ,k , ,,,B&SOC2015-10-13,,
苾, ,,bˤ, ,i ,t , ,,,B&SOC2015-10-13,,
邲, ,,b,r ,i ,t , ,,,B&SOC2015-10-13,,
庳,N- ,,p, ,e , ,ʔ ,,,B&SOC2015-10-13,,
婢, ,,b, ,e , ,ʔ ,,,B&SOC2015-10-13,,
避, ,,b, ,e ,k ,,s ,,B&SOC2015-10-13,,
敝, ,,b, ,e ,t ,,s ,,B&SOC2015-10-13,,
幣, ,,b, ,e ,t ,,s ,,B&SOC2015-10-13,,
斃, ,,b, ,e ,t ,,s ,,B&SOC2015-10-13,,
辟,N- ,,p, ,e ,k , ,,,B&SOC2015-10-13,,
邲, ,,b, ,i ,t , ,,,B&SOC2015-10-13,,
嬖, ,,pˤ, ,e ,k ,,s ,,B&SOC2015-10-13,,
閉, ,,pˤ, ,i ,t ,,s ,,B&SOC2015-10-13,,
壁,C- ,,pˤ, ,e ,k , ,,,B&SOC2015-10-13,,
毖, ,,p,r ,i ,t ,,s ,,B&SOC2015-10-13,,
閟, ,,p,r ,i ,t ,,s ,,B&SOC2015-10-13,,
柲, ,,p,r ,i ,t , ,,,B&SOC2015-10-13,,
碧, ,,p,r ,a ,k , ,,,B&SOC2015-10-13,,
賁, ,,p, ,o ,r ,,s ,,B&SOC2015-10-13,,
髀, ,,p, ,e , ,ʔ ,,,B&SOC2015-10-13,,
臂, ,,p, ,e ,k ,,s ,,B&SOC2015-10-13,,
蔽, ,,p, ,e ,t ,,s ,,B&SOC2015-10-13,,
辟, ,,p, ,e ,k , ,,,B&SOC2015-10-13,,
璧, ,,p, ,e ,k , ,,,B&SOC2015-10-13,,
庇, ,,p, ,i,j , ,,,B&SOC2015-10-13,,
畀, ,,p, ,i ,t ,,s ,,B&SOC2015-10-13,,
比, ,,p, ,i,j ,,s ,,B&SOC2015-10-13,,
庇, ,,p, ,i,j ,,s ,,B&SOC2015-10-13,,
妣, ,,p, ,i,j ,ʔ,s ,,B&SOC2015-10-13,,
必, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
畢, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
畢, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
畢, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
彃, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
篳, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
蹕, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
韠, ,,p, ,i ,t , ,,,B&SOC2015-10-13,,
邊, ,,pˤ, ,e ,n , ,,,B&SOC2015-10-13,,
編, ,,pˤ, ,e ,r , ,,,B&SOC2015-10-13,,
𠓥, ,,p, ,e ,n , ,,,B&SOC2015-10-13,,
鞭, ,,p, ,e ,n , ,,,B&SOC2015-10-13,,
籩, ,,p, ,e ,n , ,,,B&SOC2015-10-13,,
編, ,,p, ,e ,r , ,,,B&SOC2015-10-13,,
扁, ,,pˤ, ,e ,r ,ʔ ,,,B&SOC2015-10-13,,
貶, ,,p,r ,o ,m ,ʔ ,,,B&SOC2015-10-13,,
貶, ,,p,r ,e ,m ,ʔ ,,,B&SOC2015-10-13,,
窆, ,,p,r ,o ,m ,,s ,,B&SOC2015-10-13,,
釆, ,,bˤ,r ,e ,n ,,s ,,B&SOC2015-10-13,,
辮,m- ,,pˤ, ,e ,r ,ʔ ,,,B&SOC2015-10-13,,
辨, ,,b,r ,e ,n ,ʔ ,,,B&SOC2015-10-13,,
辯, ,,b,r ,e ,n ,ʔ ,,,B&SOC2015-10-13,,
弁,C- ,,b,r ,o ,n ,,s ,,B&SOC2015-10-13,,
卞, ,,b,r ,o ,n ,,s ,,B&SOC2015-10-13,,
諞,m- ,,pʰ, ,e ,r ,ʔ ,,,B&SOC2015-10-13,,
便, ,,b, ,e ,n ,,s ,,B&SOC2015-10-13,,
徧, ,,pˤ, ,e ,n ,,s ,,B&SOC2015-10-13,,
辡, ,,p,r ,e ,n ,ʔ ,,,B&SOC2015-10-13,,
變, ,,p,r ,o ,n ,,s ,,B&SOC2015-10-13,,
髟, ,,p,r ,i,w , ,,,B&SOC2015-10-13,,
表, ,,p,r ,a,w ,ʔ ,,,B&SOC2015-10-13,,
摽, ,,b, ,e,w ,ʔ ,,,B&SOC2015-10-13,,
鱉, ,,p, ,e ,t , ,,,B&SOC2015-10-13,,
別,N- ,,p,r ,e ,t , ,,,B&SOC2015-10-13,,
別, ,,p,r ,e ,t , ,,,B&SOC2015-10-13,,
豳, ,,p,r ,ə ,n , ,,,B&SOC2015-10-13,,
賓, ,,p, ,i ,n , ,,,B&SOC2015-10-13,,
瀕, ,,p, ,i ,n , ,,,B&SOC2015-10-13,,
冫,p- ,,r, ,ə ,ŋ , ,,,B&SOC2015-10-13,,
冰,p- ,,r, ,ə ,ŋ , ,,,B&SOC2015-10-13,,
兵, ,,p,r ,a ,ŋ , ,,,B&SOC2015-10-13,,
并, ,,p, ,e ,ŋ , ,,,B&SOC2015-10-13,,
禀,p- ,,r, ,i ,m ,ʔ ,,,B&SOC2015-10-13,,
稟,p- ,,r, ,i ,m ,ʔ ,,,B&SOC2015-10-13,,
稟,p- ,,r, ,i ,m ,ʔ ,,,B&SOC2015-10-13,,
禀,p- ,,r, ,i ,m ,ʔ ,,,B&SOC2015-10-13,,
丙, ,,p,r ,a ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
邴, ,,p,r ,a ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
秉, ,,p,r ,a ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
餅, ,,p, ,e ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
並, ,,bˤ, ,e ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
病, ,,b,r ,a ,ŋ ,,s ,,B&SOC2015-10-13,,
枋, ,,p,r ,a ,ŋ ,ʔ,s ,,B&SOC2015-10-13,,
柄, ,,p,r ,a ,ŋ ,ʔ,s ,,B&SOC2015-10-13,,
棅, ,,p,r ,a ,ŋ ,ʔ,s ,,B&SOC2015-10-13,,
并, ,,p, ,e ,ŋ ,,s ,,B&SOC2015-10-13,,
波, ,,pˤ, ,a,j , ,,,B&SOC2015-10-13,,
番, ,,pˤ, ,a ,r , ,,,B&SOC2015-10-13,,
剝, ,,pˤ,r ,o ,k , ,,,B&SOC2015-10-13,,
撥, ,,pˤ, ,a ,t , ,,,B&SOC2015-10-13,,
帛, ,,bˤ,r ,a ,k , ,,,B&SOC2015-10-13,,
薄, ,,bˤ, ,a ,k , ,,,B&SOC2015-10-13,,
泊, ,,bˤ, ,a ,k , ,,,B&SOC2015-10-13,,
孛, ,,bˤ, ,u ,t , ,,,B&SOC2015-10-13,,
艴, ,,bˤ, ,u ,t , ,,,B&SOC2015-10-13,,
勃, ,,bˤ, ,u ,t , ,,,B&SOC2015-10-13,,
悖, ,,bˤ, ,u ,t , ,,,B&SOC2015-10-13,,
伯, ,,pˤ,r ,a ,k , ,,,B&SOC2015-10-13,,
駁,,,pˤ,r ,a,wk , ,,,B&SOC2015-10-13,,
博, ,,pˤ, ,a ,k , ,,,B&SOC2015-10-13,,
搏, ,,pˤ, ,a ,k , ,,,B&SOC2015-10-13,,
